NO,병원명,업무구분,대표전화,주소,월요일 진료,화요일 진료,수요일 진료,목요일 진료,금요일 진료,토요일 진료,일요일 진료,공휴일 진료
359,연세수목화치과의원,응급의료기관 이외 > 치과의원,064-723-7528,"제주특별자치도 제주시 화삼북로 36, 2층 (화북일동)",09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~12:30,-,-
360,닥터강치과의원,응급의료기관 이외 > 치과의원,064-722-6325,"제주특별자치도 제주시 건주로 33, 3층 (도련일동)",09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,-,-,-
361,서울오름치과의원,응급의료기관 이외 > 치과의원,064-746-2875,"제주특별자치도 제주시 노형14길 14, 4층 (노형동)",10:00~19:00,10:00~21:00,10:00~19:00,10:00~21:00,10:00~19:00,10:00~17:00,-,-
362,김형섭치과의원,응급의료기관 이외 > 치과의원,064-711-8747,제주특별자치도 제주시 흥운길 1 (용담이동),09:30~18:00,09:30~18:00,09:30~18:00,09:30~18:00,09:30~18:00,09:30~13:00,-,-
363,김보성치과의원,응급의료기관 이외 > 치과의원,064-796-8575,"제주특별자치도 제주시 한림읍 한림중앙로 4, 2층 (한림읍)",09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~13:00,-,-
364,다음치과의원,응급의료기관 이외 > 치과의원,064-759-2875,"제주특별자치도 제주시 서광로 293 (이도일동, 태안빌딩)",09:00~18:30,09:00~18:30,09:00~18:30,-,09:00~18:30,09:00~12:30,-,-
365,연세치과의원,응급의료기관 이외 > 치과의원,064-724-5275,"제주특별자치도 제주시 동광로 107, 4층 (일도이동)",09:30~18:00,09:30~20:30,-,09:30~18:00,09:30~18:00,09:30~12:00,-,-
366,그린치과의원,응급의료기관 이외 > 치과의원,064-745-2875,제주특별자치도 제주시 연북로 22,09:30~18:30,09:30~18:30,09:30~12:30,09:30~18:30,09:30~18:30,09:30~12:30,-,-
367,이엔이치과의원,응급의료기관 이외 > 치과의원,064-721-2275,제주특별자치도 제주시 도남로 56 (도남동),09:00~17:30,09:00~17:30,09:00~12:30,09:00~17:30,09:00~19:30,09:00~12:30,-,-
368,램브란트치과의원,응급의료기관 이외 > 치과의원,064-755-9115,"제주특별자치도 제주시 서광로 281, (이도일동)",09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~12:00,-,-
369,더조은치과의원,응급의료기관 이외 > 치과의원,064-724-2804,"제주특별자치도 제주시 중앙로 286, 4층 (이도이동, 김기수안과빌딩)",09:30~18:30,09:30~20:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~13:30,-,-
370,이사랑치과의원,응급의료기관 이외 > 치과의원,064-746-3924,제주특별자치도 제주시 남녕로 28 (연동),09:30~18:30,09:30~18:30,09:30~12:30,09:30~18:30,09:30~18:30,09:30~12:30,-,-
371,예다움치과의원,응급의료기관 이외 > 치과의원,064-751-2872,제주특별자치도 제주시 중앙로 366 (이도이동),09:30~18:30,09:30~20:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~13:00,-,-
372,열린치과의원,응급의료기관 이외 > 치과의원,064-721-8888,제주특별자치도 제주시 고마로 123 (일도이동),09:30~18:00,09:30~20:00,09:30~12:00,09:30~18:00,09:30~18:00,09:30~12:00,-,-
373,아라치과의원,응급의료기관 이외 > 치과의원,064-702-7272,제주특별자치도 제주시 중앙로 531 (아라일동),09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,-,-,-
374,신세계치과의원,응급의료기관 이외 > 치과의원,064-751-2879,"제주특별자치도 제주시 동광로 120, 2층 (일도이동)",09:30~20:30,09:30~18:30,09:30~18:30,09:30~20:30,09:30~18:30,-,-,-
375,노형치과의원,응급의료기관 이외 > 치과의원,064-713-2899,"제주특별자치도 제주시 노형8길 2, 5층 (노형동, 온유빌딩)",09:30~18:30,09:30~18:30,09:30~18:30,09:30~13:30,09:30~18:30,09:00~13:00,-,-
376,정다운치과의원,응급의료기관 이외 > 치과의원,064-751-2882,제주특별자치도 제주시 도남로8길 3 (도남동),09:30~18:30,09:30~20:00,09:30~18:30,09:30~18:30,09:30~18:30,09:30~13:00,-,-
377,진플란티아치과의원,응급의료기관 이외 > 치과의원,064-711-2883,"제주특별자치도 제주시 1100로 3347, 3층 (노형동)",09:00~18:00,09:00~20:00,09:00~18:00,09:00~20:00,09:00~18:00,09:00~14:00,-,-
378,포유치과의원,응급의료기관 이외 > 치과의원,064-711-6227,"제주특별자치도 제주시 신대로 134, 2층 (연동)",09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~14:00,-,-
379,수목원소아치과치과의원,응급의료기관 이외 > 치과의원,064-711-7710,"제주특별자치도 제주시 수목원길 12, 1층 (노형동)",14:00~19:00,10:00~19:00,14:00~19:00,10:00~19:00,14:00~19:00,09:00~14:00,-,-
380,e-조은치과의원,응급의료기관 이외 > 치과의원,064-743-8275,"제주특별자치도 제주시 애월읍 하귀로 83, 2층",09:30~18:30,09:30~18:30,09:30~18:30,09:30~13:00,09:30~18:30,09:30~13:00,-,-
381,명치과의원,응급의료기관 이외 > 치과의원,064-722-6700,제주특별자치도 제주시 동문로 45 (일도일동),08:30~17:00,08:30~17:00,08:30~17:00,08:30~17:00,08:30~17:00,08:30~12:00,-,08:30~12:00
382,문치과의원,응급의료기관 이외 > 치과의원,064-724-2828,"제주특별자치도 제주시 중앙로 568, 2층 (아라일동)",09:00~17:00,09:00~17:00,09:00~17:00,09:00~12:00,09:00~17:00,09:00~12:00,09:00~12:00,09:00~12:00
383,찬치과의원,응급의료기관 이외 > 치과의원,064-755-2228,제주특별자치도 제주시 중앙로 371-1,09:30~20:00,09:30~18:30,09:30~13:00,09:30~20:00,09:30~18:30,09:30~14:00,-,-
384,동구치과의원,응급의료기관 이외 > 치과의원,064-756-2833,제주특별자치도 제주시 중앙로 368 (이도이동),09:30~18:00,09:30~18:00,09:30~18:00,09:30~18:00,09:30~18:00,-,09:30~18:00,-
385,동산내과의원,응급의료기관 이외 > 의원,064-723-0808,"제주특별자치도 제주시 중앙로 337, 3층 301,302호 (이도이동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,09:00~18:00,09:00~13:00,-,09:00~13:00
386,구좌의원,응급의료기관 이외 > 의원,064-782-9282,제주특별자치도 제주시 구좌읍 세화12길 1 (구좌읍),08:30~18:00,08:30~18:00,08:30~12:30,08:30~18:00,08:30~18:00,08:30~12:30,-,08:30~12:00
387,바른정의원,응급의료기관 이외 > 의원,064-723-3355,제주특별자치도 제주시 성지로 76-1 (일도이동),08:30~18:00,08:30~18:00,08:30~12:00,08:30~18:00,08:30~18:00,08:30~12:00,-,-
388,박내과의원,응급의료기관 이외 > 의원,064-743-6161,제주특별자치도 제주시 월랑로 3 (노형동),09:00~18:30,09:00~18:30,09:00~12:30,09:00~18:30,09:00~18:30,09:00~12:30,-,-
389,더좋은이비인후과의원,응급의료기관 이외 > 의원,064-702-8820,"제주특별자치도 제주시 중앙로 337, 2층 (이도이동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~13:00,-,09:00~13:00
390,박상욱 휴 정신건강의학과의원,응급의료기관 이외 > 의원,064-725-2500,제주특별자치도 제주시 중앙로 337 3층 (이도이동),09:30~20:00,09:30~18:30,09:30~13:00,09:30~18:30,09:30~18:30,09:30~13:00,-,-
391,굿모닝마취통증의학과의원,응급의료기관 이외 > 의원,064-805-0123,"제주특별자치도 제주시 건주로 31, 3층 (도련일동)",09:00~18:00,09:00~21:00,09:00~13:00,09:00~21:00,09:00~18:00,-,-,-
392,꿀의원,응급의료기관 이외 > 의원,064-759-7595,"제주특별자치도 제주시 동화로 28, 4층 (화북일동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-
393,아미의원,응급의료기관 이외 > 의원,064-747-3778,"제주특별자치도 제주시 노형14길 12, HO빌딩 3층 (노형동)",10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~15:00,-,-
394,류정신건강의학과의원,응급의료기관 이외 > 의원,064-751-0901,"제주특별자치도 제주시 건주로 22, 3층 (삼양이동)",09:30~18:30,09:30~18:30,09:30~13:00,09:30~18:30,09:30~18:30,09:30~13:00,-,-
395,심창은소아청소년과,응급의료기관 이외 > 의원,064-759-8800,제주특별자치도 제주시 화삼북로 139,08:30~18:30,08:30~18:30,08:30~13:00,08:30~18:30,08:30~18:30,08:30~13:00,-,-
396,차산부인과의원,응급의료기관 이외 > 의원,064-742-9661,제주특별자치도 제주시 노형8길 2 (노형동),08:30~18:00,08:30~18:00,08:30~12:30,08:30~18:00,08:30~18:00,08:30~12:30,-,08:30~12:30
397,마릴린제이의원,응급의료기관 이외 > 의원,064-747-2008,"제주특별자치도 제주시 월랑로 5, 2층 (노형동)",10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,-,-,-
398,올레비뇨의학과의원,응급의료기관 이외 > 의원,064-745-2800,"제주특별자치도 제주시 중앙로 366, 4층 (이도이동)",09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,09:30~13:00,-,-
399,연세삼성의원,응급의료기관 이외 > 의원,064-713-3454,제주특별자치도 제주시 흥운길 8 (용담이동),09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~13:00,-,-
400,유쾌한비뇨기과의원,응급의료기관 이외 > 의원,064-805-1151,"제주특별자치도 제주시 1100로 3333, 2층 (노형동)",09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~12:30,-,-
401,미인세상의원,응급의료기관 이외 > 의원,064-702-8867,"제주특별자치도 제주시 연북로 527, 301호 (아라일동)",10:00~18:00,10:00~18:00,10:00~18:00,10:00~18:00,10:00~18:00,10:00~12:30,-,-
402,예닮빛의원,응급의료기관 이외 > 의원,064-723-2540,"제주특별자치도 제주시 동광로 133, 5층 (일도이동, 고마로빌딩)",09:30~18:00,09:30~18:00,09:30~18:00,14:00~20:00,09:30~18:00,09:00~14:00,-,-
403,더미인의원,응급의료기관 이외 > 의원,064-749-5222,제주특별자치도 제주시 도령로 25 (노형동),10:00~18:30,10:00~18:30,10:00~18:30,-,10:00~20:00,10:00~13:00,-,-
404,조대경안심내과의원,응급의료기관 이외 > 의원,064-742-7524,"제주특별자치도 제주시 노형8길 2 (노형동, 온유빌딩3층)",08:30~18:00,08:30~18:00,08:30~12:00,08:30~18:00,08:30~18:00,08:30~13:00,-,-
405,광양서울앤치과의원,응급의료기관 이외 > 치과의원,064-727-2833,"제주특별자치도 제주시 서광로 302, 7층 (이도이동, 제주클리닉)",10:00~18:30,10:00~18:30,10:00~18:30,10:00~18:30,10:00~18:30,10:00~13:00,-,-
406,필한의원,응급의료기관 이외 > 한의원,064-782-0951,제주특별자치도 제주시 구좌읍 구좌로 70,08:00~17:00,08:00~17:00,08:00~17:00,08:00~17:00,08:00~17:00,08:00~12:30,-,-
407,양경흠치과의원,응급의료기관 이외 > 치과의원,064-751-2006,제주특별자치도 제주시 서광로 220 (삼도일동),09:30~18:00,09:30~18:00,09:30~18:00,09:30~18:00,09:30~18:00,09:30~12:30,-,-
408,새봄비뇨기과의원,응급의료기관 이외 > 의원,064-724-8307,"제주특별자치도 제주시 동광로 131, 5층 (일도이동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-
409,참사랑소아과의원,응급의료기관 이외 > 의원,064-713-1138,제주특별자치도 제주시 우정로 56 (외도일동),09:00~18:40,09:00~18:40,09:00~11:40,09:00~18:40,09:00~18:40,09:00~12:40,-,-
410,시원의원,응급의료기관 이외 > 의원,064-796-1275,제주특별자치도 제주시 한림읍 한림중앙로 46 (한림읍),08:40~18:00,08:40~18:00,08:40~18:00,08:40~18:00,08:40~18:00,08:40~13:00,-,-
411,푸르미 소아청소년과의원,응급의료기관 이외 > 의원,064-744-8275,제주특별자치도 제주시 연북로 28 (노형동),09:00~18:30,09:00~18:30,09:00~18:30,-,09:00~18:30,09:00~13:00,-,-
412,멘파워비뇨기과의원,응급의료기관 이외 > 의원,064-746-8701,제주특별자치도 제주시 노연로 94 (연동),09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~13:30,-,-
413,김영중의원,응급의료기관 이외 > 의원,064-744-1175,"제주특별자치도 제주시 노형로 386, 2층 (노형동)",09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~13:00,-,-
414,애플소아청소년과의원,응급의료기관 이외 > 의원,064-726-7579,"제주특별자치도 제주시 중앙로 560 (아라일동, 아라Ye s빌딩)",08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~13:00,-,-
415,김수로의원,응급의료기관 이외 > 의원,064-796-8011,제주특별자치도 제주시 한림읍 한림로 672 (한림읍),08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~17:30,08:30~12:30,-,08:30~12:30
416,우리소아청소년과의원,응급의료기관 이외 > 의원,064-713-7553,"제주특별자치도 제주시 우정로15길 5, 2층 (외도일동)",09:00~18:30,09:00~18:30,09:00~11:00,09:00~18:30,09:00~18:30,09:00~13:00,-,-
417,현용준내과의원,응급의료기관 이외 > 의원,064-751-6006,"제주특별자치도 제주시 동광로 129, 2층 (일도이동)",09:00~19:00,09:00~19:00,09:00~12:30,09:00~19:00,09:00~19:00,09:00~12:30,-,-
418,강남의원,응급의료기관 이외 > 의원,064-755-1008,"제주특별자치도 제주시 서광로 302, 3층 (이도이동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~12:30,-,09:00~12:30
419,아이사랑소아과의원,응급의료기관 이외 > 의원,064-751-8275,제주특별자치도 제주시 동광로 131 (일도이동),08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~12:30,-,09:00~12:30
420,제주아름다운피부과의원,응급의료기관 이외 > 의원,064-753-7114,제주특별자치도 제주시 서광로 273 (이도일동),09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-
421,홍소아청소년과의원,응급의료기관 이외 > 의원,064-743-4800,"제주특별자치도 제주시 아란7길 18, 1층 (아라일동)",09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~12:30,-,-
422,강남스타성형외과의원,응급의료기관 이외 > 의원,064-745-7456,"제주특별자치도 제주시 신형로 14, 2,3층 (노형동)",10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~17:00,-,-
423,한나산부인과의원,응급의료기관 이외 > 의원,064-711-7717,제주특별자치도 제주시 도령로 7,10:00~18:00,10:00~18:00,10:00~19:00,10:00~13:00,10:00~18:00,10:00~13:00,-,-
424,연세안과의원,응급의료기관 이외 > 의원,064-755-0310,제주특별자치도 제주시 서광로 220 (삼도일동),09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~13:00,-,-
425,이지현의원,응급의료기관 이외 > 의원,064-713-4488,"제주특별자치도 제주시 월랑로8길 1, 2층 202호 (노형동, 아란야플라자)",10:00~18:30,10:00~21:00,-,10:00~18:30,10:00~21:00,09:00~13:00,-,-
426,애플정신건강의학과의원,응급의료기관 이외 > 의원,064-744-9575,"제주특별자치도 제주시 연북로 38, 3층 (노형동, 연동타운)",09:00~19:00,09:00~19:00,09:00~13:00,09:00~19:00,09:00~19:00,09:00~13:00,-,-
427,속편한내과의원,응급의료기관 이외 > 의원,064-756-7500,"제주특별자치도 제주시 중앙로 359, 3층 (이도이동, 신해빌딩)",08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~14:00,-,09:00~12:30
428,더편한오동훈내과의원,응급의료기관 이외 > 의원,064-759-8575,"제주특별자치도 제주시 서광로 294, 3층 (이도이동)",08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~13:00,-,-
429,한라정형외과의원,응급의료기관 이외 > 의원,064-742-1004,"제주특별자치도 제주시 연북로 26, 3층 (노형동, 열린빌딩)",09:00~18:00,09:00~21:00,09:00~18:00,09:00~21:00,09:00~18:00,09:00~13:00,-,-
430,소리나소아청소년과의원,응급의료기관 이외 > 의원,064-752-7900,"제주특별자치도 제주시 중앙로 380, 2층 (이도이동)",08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~13:00,-,-
431,에버그린의원,응급의료기관 이외 > 의원,064-758-1807,"제주특별자치도 제주시 중앙로 371-1, 3,4,5층 (이도이동)",09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~20:30,09:30~13:30,-,-
432,이룸내과의원,응급의료기관 이외 > 의원,064-745-2626,"제주특별자치도 제주시 연오로 59, 2층 303호 (오라삼동)",09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~13:00,-,-
433,문의원,응급의료기관 이외 > 의원,064-796-0160,제주특별자치도 제주시 한림읍 한림로 652 (한림읍),09:00~17:30,09:00~17:30,09:00~17:30,09:00~12:00,09:00~17:30,09:00~12:00,-,09:00~12:00
434,행복의원,응급의료기관 이외 > 의원,064-782-5750,제주특별자치도 제주시 조천읍 신북로 226 (조천읍),08:00~17:00,08:00~17:00,08:00~17:00,08:00~17:00,08:00~17:00,08:00~12:00,-,08:00~12:00
435,삼화내과의원,응급의료기관 이외 > 의원,064-755-3306,"제주특별자치도 제주시 건주로 33, 3층 (도련일동)",09:00~21:00,09:00~21:00,09:00~13:00,09:00~21:00,09:00~21:00,09:00~13:00,-,-
436,민소아청소년과의원,응급의료기관 이외 > 의원,064-722-5300,"제주특별자치도 제주시 인다10길 35, 2층 (아라일동)",09:00~19:00,09:00~19:00,09:00~12:00,09:00~19:00,09:00~19:00,09:00~14:00,-,-
437,두리이비인후과의원,응급의료기관 이외 > 의원,064-702-8275,제주특별자치도 제주시 중앙로 286 (이도이동),09:00~19:00,09:00~18:30,09:00~18:30,09:00~19:00,09:00~18:30,09:00~14:00,-,-
438,반딧불의원,응급의료기관 이외 > 의원,064-805-7582,"제주특별자치도 제주시 건주로6길 62, 백송빌딩 2층 (도련일동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,09:00~19:00,09:00~14:00,-,09:00~14:00
439,연세제일안과의원,응급의료기관 이외 > 의원,064-727-2700,"제주특별자치도 제주시 중앙로 337, 2층 202,203호 (이도이동)",08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~17:00,-,08:30~13:00
440,탐라우리들의원,응급의료기관 이외 > 의원,064-757-8575,제주특별자치도 제주시 중앙로 552 (아라일동),08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~13:00,-,-
441,고려이비인후과의원,응급의료기관 이외 > 의원,064-726-5630,제주특별자치도 제주시 중앙로 366 (이도이동),09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~12:00,-,-
442,정소아청소년과의원,응급의료기관 이외 > 의원,064-748-1546,제주특별자치도 제주시 승천로 74 (아라이동),08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~16:00,08:30~12:00,08:30~12:00
443,강형윤가정의학과의원,응급의료기관 이외 > 의원,064-713-0332,제주특별자치도 제주시 우정로 59,08:30~18:30,08:30~18:30,08:30~18:30,08:30~12:30,08:30~18:30,08:30~13:00,-,08:30~12:00
444,김명식내과의원,응급의료기관 이외 > 의원,064-758-0008,제주특별자치도 제주시 용문로 163 (용담이동),09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~12:30,-,-
445,꾸러기 소아 청소년과 의원,응급의료기관 이외 > 의원,064-713-7500,"제주특별자치도 제주시 우정로 63, 1층 (외도일동)",08:30~18:50,08:30~18:50,08:30~18:50,08:30~18:50,08:30~18:50,08:30~12:30,-,-
446,김세희소아과의원,응급의료기관 이외 > 의원,064-726-5275,"제주특별자치도 제주시 동광로 110, 2층 (일도이동)",09:00~19:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~19:30,09:00~14:00,-,09:00~11:30
447,날씬의원,응급의료기관 이외 > 의원,064-744-0570,제주특별자치도 제주시 도령로 5 (노형동),10:00~19:00,10:00~19:00,10:00~19:00,09:00~14:00,10:00~19:00,09:00~14:00,-,-
448,명인플러스의원,응급의료기관 이외 > 의원,064-723-7575,"제주특별자치도 제주시 동화로 30, 2,3층 (화북일동)",08:30~18:00,08:30~18:00,08:30~18:00,08:30~12:30,08:30~18:00,08:30~12:30,-,08:30~12:00
449,문이비인후과의원,응급의료기관 이외 > 의원,064-721-2240,제주특별자치도 제주시 서광로 268 (도남동),09:00~18:00,09:00~18:00,09:00~18:00,09:00~12:00,09:00~18:00,09:00~12:00,-,09:00~12:00
450,미모피부과의원,응급의료기관 이외 > 의원,064-712-2555,제주특별자치도 제주시 1100로 3347 2층 미모피부과의원 (노형동),09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,-,-,-
451,미사랑의원,응급의료기관 이외 > 의원,064-725-7727,제주특별자치도 제주시 중앙로 286 (이도이동),09:00~18:30,09:00~18:30,09:00~18:30,09:00~20:30,09:00~18:30,09:00~15:00,-,-
452,뷰앤미의원,응급의료기관 이외 > 의원,064-743-0075,제주특별자치도 제주시 노연로 118-1 (연동),10:00~19:00,10:00~19:00,10:00~19:00,10:00~19:00,10:00~21:00,-,-,-
453,소리이비인후과의원,응급의료기관 이외 > 의원,064-744-4458,"제주특별자치도 제주시 연북로 76, 4층 (연동, 한성빌딩)",09:00~18:30,09:00~18:30,09:00~18:30,09:00~12:00,09:00~18:30,09:00~12:00,-,-
454,신제주이비인후과의원,응급의료기관 이외 > 의원,064-713-7512,제주특별자치도 제주시 연북로 38 (노형동),08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~12:30,-,08:30~12:00
455,연세가정의학과의원,응급의료기관 이외 > 의원,064-756-7337,제주특별자치도 제주시 일주동로 179 (화북일동),09:00~18:00,09:00~18:00,09:00~13:00,09:00~18:00,09:00~18:00,09:00~13:00,-,09:00~13:00
456,에덴산부인과의원,응급의료기관 이외 > 의원,064-748-9400,"제주특별자치도 제주시 수덕로 6, 4층 (노형동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~12:30,-,09:00~12:30
457,오정헌내과의원,응급의료기관 이외 > 의원,064-711-1116,"제주특별자치도 제주시 우정로8길 2, 2층 (외도일동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-
458,온마음의원,응급의료기관 이외 > 의원,064-753-0075,제주특별자치도 제주시 연삼로 548 (일도이동),08:30~18:30,08:30~18:30,08:30~18:30,08:30~18:30,08:30~13:00,-,08:30~13:00,-
459,용담의원,응급의료기관 이외 > 의원,064-711-8511,"제주특별자치도 제주시 용담로 92, 2층 (용담이동)",08:30~17:00,08:30~17:00,08:30~17:00,08:30~17:00,08:30~17:00,08:30~11:30,-,-
460,이경신이비인후과의원,응급의료기관 이외 > 의원,064-756-2123,제주특별자치도 제주시 중앙로 61 (이도일동),09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~16:00,-,09:00~12:00
461,장용안과의원,응급의료기관 이외 > 의원,064-753-7582,"제주특별자치도 제주시 서광로 302, 5층 (이도이동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~12:30,-,09:00~12:30
462,정민구소아청소년과의원,응급의료기관 이외 > 의원,064-724-7582,"제주특별자치도 제주시 건주로4길 6-8, 2층 201호 (도련일동)",08:30~19:00,08:30~19:00,08:30~19:00,14:00~19:00,08:30~19:00,08:30~13:00,-,-
463,제일내과의원,응급의료기관 이외 > 의원,064-742-7582,"제주특별자치도 제주시 월랑로 1, 4층 (노형동, 노형종합크리닉)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~12:30,-,-
464,제주삼성의원,응급의료기관 이외 > 의원,064-755-0753,"제주특별자치도 제주시 신성로 78, 2층 (도남동)",08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~13:00,-,08:30~13:00
465,제주필의원,응급의료기관 이외 > 의원,064-726-6300,제주특별자치도 제주시 일주동로 229 (화북일동),09:00~18:00,09:00~18:00,09:00~18:00,-,09:00~18:00,09:00~12:00,-,-
466,제주제통의원,응급의료기관 이외 > 의원,064-723-7570,"제주특별자치도 제주시 중앙로 371, 2층 (이도이동)",08:00~18:30,08:00~18:30,08:00~18:30,08:00~18:30,08:00~18:30,08:00~13:30,-,08:00~12:30
467,탑성형외과의원,응급의료기관 이외 > 의원,064-757-1133,제주특별자치도 제주시 서광로 131 (용담이동),10:00~19:00,10:00~19:00,10:00~19:00,10:00~21:00,10:00~19:00,10:00~13:00,-,-
468,푸르내가정의학과의원,응급의료기관 이외 > 의원,064-713-1246,"제주특별자치도 제주시 우정로 70, 2층 (외도일동)",08:30~19:00,08:30~19:00,08:30~19:00,08:30~12:30,08:30~19:00,08:00~13:00,-,-
469,하나로의원,응급의료기관 이외 > 의원,064-784-8431,제주특별자치도 제주시 조천읍 함와로 40,08:30~18:30,08:30~18:30,08:30~18:30,08:30~12:30,08:30~18:30,08:30~12:00,-,-
470,한경의원,응급의료기관 이외 > 의원,064-772-4664,제주특별자치도 제주시 한경면 두신로 75 (한경면),08:40~17:30,08:40~17:30,08:40~17:30,08:40~17:30,08:40~17:30,08:40~12:30,-,-
471,해맑은소아과의원,응급의료기관 이외 > 의원,064-749-4000,제주특별자치도 제주시 수덕로 6 (노형동),08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~12:30,-,08:30~12:00
472,늘푸른내과의원,응급의료기관 이외 > 의원,064-746-7337,제주특별자치도 제주시 과원북4길 35 (노형동),09:00~17:30,09:00~17:30,09:00~18:00,09:00~12:00,09:00~17:30,09:00~12:00,-,09:00~12:00
473,연세이비인후과의원,응급의료기관 이외 > 의원,064-726-1919,제주특별자치도 제주시 고마로 117 2층 연세이비인후과의원 (일도이동),09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~12:30,09:00~11:00,09:00~11:00
474,경희동가원한의원,응급의료기관 이외 > 한의원,064-748-3375,"제주특별자치도 제주시 과원로 36, 1층 (연동)",09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,-,-,-
475,봄정신건강의학과의원,응급의료기관 이외 > 의원,064-725-3500,제주특별자치도 제주시 서광로 297 (이도일동),09:30~18:30,09:30~18:30,09:30~18:30,-,09:30~18:30,09:30~13:00,-,-
476,수 한의원,응급의료기관 이외 > 한의원,064-747-8875,"제주특별자치도 제주시 애월읍 하광로 2, 2층",08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~13:00,-,-
477,제주힘튼의원,응급의료기관 이외 > 의원,064-759-3917,"제주특별자치도 제주시 서광로 215, 2층 (삼도일동)",08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~18:00,08:00~12:30,-,-
478,이명철한의원,응급의료기관 이외 > 한의원,064-753-7887,제주특별자치도 제주시 서광로 192 (삼도일동),09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~12:00,-,09:00~12:00
